endTime,trackName,msPlayed,artistId
2023-09-10 15:34,Digital Love,301373,4tZwfgrHOc3mvqYlEYSvVi
2023-09-10 15:37,Fortunate Son,140773,3IYUhFvPQItj6xySrBmZkd
2023-09-10 15:39,In the End,22732,6XyY86QOPPrYVGvF9ch6wz
2023-09-10 15:39,Chop Suey!,105366,5eAWCfyUhZtHHtBdNk56l1
2023-09-10 15:41,Song 2 - 2012 Remaster,1439,7MhMgCo0Bl0Kukl93PZbYS
2023-09-10 15:41,Otherside,97454,0L8ExT028jH3ddEcZwqJJ5
2023-09-10 15:41,How You Remind Me,2786,6deZN1bslXzeGvOLaLMOIF
2023-09-10 15:41,Complicated,812,0p4nmQO2msCgU4IF37Wi3j
2023-09-10 15:55,Your Love,216466,1zxDewzd2j1ZdSBGaYcr0y
2023-09-10 15:56,What I've Done,26259,6XyY86QOPPrYVGvF9ch6wz
2023-09-10 16:00,Under the Bridge,264306,0L8ExT028jH3ddEcZwqJJ5
2023-09-10 16:03,Feel It Still,163253,4kI8Ie27vjvonwaB2ePh8T
2023-09-10 16:05,Black or White,168581,3fMbdgg4jU18AjLCKBhRSm
2023-09-10 16:06,I'm Still Standing,32960,3PhoLpVuITZKcymswpck5b
2023-09-10 16:10,Gangsta's Paradise,240693,3y24n3XhZ96wgwRXjvS17T
2023-09-10 16:11,Bleed It Out,54742,6XyY86QOPPrYVGvF9ch6wz
2023-09-10 16:15,By the Way,216933,0L8ExT028jH3ddEcZwqJJ5
2023-09-10 16:16,I Love Rock 'N Roll,84881,1Fmb52lZ6Jv7FMWXXTPO3K
2023-09-10 16:19,Last Resort,199906,4RddZ3iHvSpGV4dvATac9X
2023-09-10 16:20,Here Comes The Sun - Remastered 2009,10665,3WrFJ7ztbogyGnTHbHJFl2
2023-09-10 16:30,Bring Me To Life,51776,5nGIFgo0shDenQYSE0Sn7c
2023-09-11 02:24,GTA.mp3,47423,0AqlFI0tz2DsEoJlKSIiT9
2023-09-11 02:25,LET GO,109695,5H4yInM5zmHqpKIoMNAx4r
2023-09-11 02:26,Columbia,14293,52iwsT98xCoGgiGntTiR7K
2023-09-11 02:27,03',82005,3DEdNjxF3ea9taOMCXouZ6
2023-09-11 02:28,True Love,51861,5K4W6rqBFWDnAN6FQUkS6x
2023-09-11 02:30,Goodies - Knock2 Remix,96277,5R3Hr2cnCCjt220Jmt2xLf
2023-09-11 02:32,That Girl,148583,1DKPQBaKEzmQzWG1GwJoXT
2023-09-11 02:33,Paint The Town Red,27620,5cj0lLjcoR7YOSnhnX0Po5
