id,name,followers,popularity,uri
0BmLNz4nSLfoWYW1cYsElL,Alexandra Stan,381619,63,spotify:artist:0BmLNz4nSLfoWYW1cYsElL
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,12526065,80,spotify:artist:0X2BH1fck6amBIoJhDVmmJ
5Kmr0b3ip8g9P2i0dLTC3Z,Disco Lines,139972,60,spotify:artist:5Kmr0b3ip8g9P2i0dLTC3Z
052B9SONfhoScw7dgYWw5o,Biscits,77106,58,spotify:artist:052B9SONfhoScw7dgYWw5o
67hb7towEyKvt5Z8Bx306c,Empire Of The Sun,1579651,77,spotify:artist:67hb7towEyKvt5Z8Bx306c
31Bh5G3Q9JzwqPpHDLIQtW,Jervis Campbell,101542,60,spotify:artist:31Bh5G3Q9JzwqPpHDLIQtW
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,32455166,92,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado,3985311,77,spotify:artist:2jw70GZXlAI8QzWeY2bgRc
6jJ0s89eD6GaHleKKya26X,Katy Perry,34233494,85,spotify:artist:6jJ0s89eD6GaHleKKya26X
4csQIMQm6vI2A2SCVDuM2z,Hayden James,262448,59,spotify:artist:4csQIMQm6vI2A2SCVDuM2z
0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,21225893,84,spotify:artist:0L8ExT028jH3ddEcZwqJJ5
5eAWCfyUhZtHHtBdNk56l1,System Of A Down,11192926,81,spotify:artist:5eAWCfyUhZtHHtBdNk56l1
5nGIFgo0shDenQYSE0Sn7c,Evanescence,4664311,74,spotify:artist:5nGIFgo0shDenQYSE0Sn7c
3DEdNjxF3ea9taOMCXouZ6,Sainté,339955,62,spotify:artist:3DEdNjxF3ea9taOMCXouZ6
6u11Qbko2N2hP4lTBYjX86,Peter Bjorn and John,394812,62,spotify:artist:6u11Qbko2N2hP4lTBYjX86
59oA5WbbQvomJz2BuRG071,Jungle,1475585,75,spotify:artist:59oA5WbbQvomJz2BuRG071
6MJKlN8ya42Agsw3iQZs6e,French 79,229403,61,spotify:artist:6MJKlN8ya42Agsw3iQZs6e
6nVcHLIgY5pE2YCl8ubca1,JHAYCO,7995218,82,spotify:artist:6nVcHLIgY5pE2YCl8ubca1
4L9VftgkqPPV0KXjzM0SIh,artistbasm,348,9,spotify:artist:4L9VftgkqPPV0KXjzM0SIh
6nxWCVXbOlEVRexSbLsTer,Flume,2456198,71,spotify:artist:6nxWCVXbOlEVRexSbLsTer
5jrBB1rNDvBqdZ9kUw6Hzf,Artis Boris,101,12,spotify:artist:5jrBB1rNDvBqdZ9kUw6Hzf
1FmxE030Xe2H8Bn9bdv6Pd,Vanessa Paradis,327426,58,spotify:artist:1FmxE030Xe2H8Bn9bdv6Pd
3sHx5xJC4akld5WXlIis2Y,Hammocks & Lime,800,43,spotify:artist:3sHx5xJC4akld5WXlIis2Y
6Hdj9MS399KY29SP12gI0L,Soraia Ramos,289600,51,spotify:artist:6Hdj9MS399KY29SP12gI0L
0gHj4MPwwcZ8Zl9CY0hqT5,Mc Paiva ZS,5040755,73,spotify:artist:0gHj4MPwwcZ8Zl9CY0hqT5
2yzaWNFV3cxmcRZtwtr5WC,Clara Schumann,38565,46,spotify:artist:2yzaWNFV3cxmcRZtwtr5WC
459INk8vcC0ebEef82WjIK,Erik Satie,850978,66,spotify:artist:459INk8vcC0ebEef82WjIK
1385hLNbrnbCJGokfH2ac2,Franz Liszt,832423,62,spotify:artist:1385hLNbrnbCJGokfH2ac2
5ihY290YPGc3aY2xTyx7Gy,Edvard Grieg,536497,63,spotify:artist:5ihY290YPGc3aY2xTyx7Gy
61BZeS03ZCGHVYi8gq523e,Haltura Arnadottir,479,43,spotify:artist:61BZeS03ZCGHVYi8gq523e
5U6PUlyqP7JzUFUujxs94H,Andrew Oye,173,8,spotify:artist:5U6PUlyqP7JzUFUujxs94H
1SykQGBiBwkQ1fcGpJ1BJt,Los Tipitos,547838,54,spotify:artist:1SykQGBiBwkQ1fcGpJ1BJt
7FnZWGw9lwOr7WzieTKEPR,Los Pericos,1334614,63,spotify:artist:7FnZWGw9lwOr7WzieTKEPR
2Bof5crSbhfBwf2pHNjPlw,El Dipy,323840,45,spotify:artist:2Bof5crSbhfBwf2pHNjPlw
0dUcMmfiS0evuaD6VrmRoL,Astrocats,435,29,spotify:artist:0dUcMmfiS0evuaD6VrmRoL
225l1KEprObX8xgl8xo2Gc,BluntOne,23911,52,spotify:artist:225l1KEprObX8xgl8xo2Gc
54weCXa5FPCsxbst0HJ2fF,enix lee,319,38,spotify:artist:54weCXa5FPCsxbst0HJ2fF
6gjAbs229sNHhSskJpQ2mG,Artist Unknown,640,21,spotify:artist:6gjAbs229sNHhSskJpQ2mG
6eNOjuJSfKkAvbiGW90AkZ,Joachim Pastor,136084,52,spotify:artist:6eNOjuJSfKkAvbiGW90AkZ
